plot_id,crop,area_acres,irrigation_type,fertiliser_used,rainfall_mm,previous_yield,yield_category
P001,Maize,9.53,Borewell,Yes,703.2,Poor,Average
P002,Sugarcane,6.21,Borewell,Yes,633.8,Poor,Average
P003,Maize,6.31,Rainfed,Yes,262.2,Poor,Poor
P004,Maize,3.98,Canal,No,763.5,Average,Poor
P005,Cotton,8.67,Borewell,Yes,344.7,Poor,Average
P006,Wheat,7.0,Canal,Yes,643.3,Good,Good
P007,Maize,2.23,Borewell,Yes,814.6,Poor,Average
P008,Wheat,7.86,Drip,No,897.7,Poor,Average
P009,Maize,0.93,Rainfed,Yes,904.7,Average,Average
P010,Maize,6.27,Rainfed,Yes,374.9,Average,Poor
P011,Cotton,2.39,Borewell,No,889.7,Average,Average
P012,Maize,8.7,Borewell,Yes,714.5,Average,Average
P013,Cotton,6.12,Rainfed,Yes,815.4,Good,Average
P014,Sugarcane,5.83,Borewell,Yes,226.1,Poor,Average
P015,Sugarcane,2.42,Drip,Yes,1108.9,Poor,Good
P016,Sugarcane,5.63,Rainfed,No,1074.6,Good,Good
P017,Wheat,8.18,Borewell,No,644.0,Good,Average
P018,Cotton,3.58,Rainfed,Yes,698.4,Average,Average
P019,Rice,8.27,Drip,Yes,219.0,Poor,Average
P020,Cotton,3.06,Rainfed,Yes,810.3,Average,Average
P021,Rice,2.91,Rainfed,No,598.3,Good,Average
P022,Cotton,6.29,Canal,Yes,845.6,Poor,Average
P023,Wheat,5.54,Canal,Yes,597.5,Average,Average
P024,Rice,7.42,Canal,Yes,867.4,Poor,Good
P025,Rice,1.93,Canal,No,666.7,Poor,Average
P026,Wheat,5.36,Rainfed,Yes,857.3,Average,Average
P027,Wheat,8.46,Borewell,No,791.1,Average,Average
P028,Maize,2.16,Drip,Yes,762.6,Good,Good
P029,Rice,3.15,Borewell,No,692.9,Good,Good
P030,Maize,1.3,Rainfed,No,808.6,Poor,Poor
P031,Wheat,5.11,Canal,No,484.0,Average,Average
P032,Cotton,6.75,Canal,Yes,476.0,Poor,Average
P033,Sugarcane,5.12,Drip,Yes,1010.1,Average,Good
P034,Rice,2.35,Borewell,Yes,758.4,Poor,Average
P035,Maize,4.96,Rainfed,No,871.2,Average,Poor
P036,Maize,8.6,Rainfed,Yes,660.7,Poor,Average
P037,Rice,4.25,Borewell,No,520.5,Average,Average
P038,Wheat,8.84,Borewell,No,558.2,Average,Average
P039,Wheat,8.2,Drip,No,853.0,Good,Good
P040,Rice,1.17,Canal,Yes,437.9,Average,Good
P041,Cotton,4.92,Canal,Yes,667.1,Poor,Average
P042,Cotton,1.71,Canal,No,859.9,Poor,Poor
P043,Sugarcane,2.35,Canal,No,728.6,Average,Average
P044,Wheat,1.25,Rainfed,No,851.0,Average,Average
P045,Wheat,9.19,Canal,Yes,786.8,Average,Good
P046,Sugarcane,6.31,Canal,Yes,1003.4,Poor,Average
P047,Maize,0.94,Rainfed,No,702.5,Poor,Average
P048,Sugarcane,5.0,Rainfed,Yes,1076.5,Average,Average
P049,Wheat,2.98,Rainfed,No,1387.4,Average,Average
P050,Wheat,0.75,Canal,No,370.5,Average,Average
P051,Rice,8.21,Borewell,Yes,850.3,Poor,Good
P052,Sugarcane,1.16,Rainfed,Yes,806.2,Poor,Average
P053,Sugarcane,8.53,Rainfed,No,625.6,Average,Poor
P054,Sugarcane,9.4,Rainfed,Yes,760.1,Average,Average
P055,Cotton,9.91,Canal,Yes,616.2,Good,Good
P056,Sugarcane,2.77,Borewell,No,624.6,Average,Poor
P057,Maize,8.35,Rainfed,No,814.8,Good,Average
P058,Cotton,5.18,Rainfed,Yes,974.7,Poor,Good
P059,Sugarcane,8.02,Borewell,Yes,610.2,Average,Average
P060,Sugarcane,7.5,Canal,No,768.0,Good,Average
P061,Sugarcane,2.61,Canal,No,758.9,Poor,Poor
P062,Sugarcane,4.02,Borewell,No,606.3,Good,Average
P063,Cotton,2.86,Rainfed,Yes,635.2,Average,Average
P064,Maize,1.63,Rainfed,Yes,853.9,Good,Good
P065,Maize,3.21,Drip,Yes,763.9,Good,Good
P066,Sugarcane,2.9,Borewell,Yes,655.6,Average,Average
P067,Rice,6.46,Canal,No,1188.0,Average,Average
P068,Maize,6.65,Canal,Yes,590.4,Average,Average
P069,Cotton,7.13,Canal,Yes,864.3,Poor,Good
P070,Cotton,8.31,Drip,No,486.0,Good,Good
P071,Wheat,5.74,Rainfed,Yes,728.4,Good,Good
P072,Cotton,6.14,Canal,No,805.1,Average,Average
P073,Cotton,1.77,Rainfed,Yes,818.5,Good,Good
P074,Cotton,5.78,Borewell,No,660.0,Average,Average
P075,Rice,9.56,Borewell,Yes,962.1,Average,Good
P076,Wheat,5.23,Canal,No,937.4,Good,Average
P077,Cotton,4.33,Rainfed,Yes,879.1,Good,Good
P078,Cotton,9.08,Borewell,No,1072.1,Average,Good
P079,Cotton,9.09,Rainfed,Yes,652.7,Average,Average
P080,Cotton,7.13,Borewell,Yes,842.1,Poor,Good
P081,Sugarcane,9.81,Canal,Yes,489.1,Poor,Average
P082,Rice,4.87,Canal,Yes,568.4,Average,Average
P083,Rice,9.02,Canal,No,660.7,Poor,Poor
P084,Sugarcane,3.78,Rainfed,Yes,1086.6,Average,Good
P085,Wheat,1.72,Rainfed,Yes,741.7,Average,Average
P086,Cotton,9.25,Rainfed,Yes,872.8,Poor,Average
P087,Wheat,7.72,Canal,No,830.0,Good,Average
P088,Cotton,5.56,Rainfed,Yes,428.7,Average,Average
P089,Sugarcane,2.23,Canal,No,765.1,Poor,Poor
P090,Sugarcane,6.14,Borewell,No,575.2,Average,Average
P091,Wheat,5.8,Canal,Yes,445.4,Good,Average
P092,Wheat,2.82,Canal,Yes,626.6,Average,Average
P093,Cotton,1.33,Borewell,Yes,909.5,Poor,Good
P094,Rice,5.16,Borewell,No,807.2,Average,Good
P095,Sugarcane,7.81,Rainfed,Yes,806.0,Poor,Poor
P096,Rice,6.3,Rainfed,Yes,736.8,Average,Average
P097,Rice,4.01,Canal,Yes,470.0,Average,Average
P098,Maize,2.92,Borewell,No,605.3,Average,Good
